n,b,clasica,bloques,strassen
128,16,0.00130823,0.00104119,0.00104109
128,32,0.00115446,0.000939017,0.000948523
128,64,0.001277,0.00111543,0.000994169
128,128,0.00119061,0.0012187,0.000922559
256,16,0.0105708,0.00805247,0.00702625
256,32,0.0105385,0.00772822,0.00694266
256,64,0.0103914,0.00797932,0.00687188
256,128,0.0105089,0.0100093,0.00691008
512,16,0.0895198,0.0647772,0.0498098
512,32,0.0896145,0.0647846,0.048873
512,64,0.0904944,0.068391,0.0488237
512,128,0.0897165,0.0825656,0.0493041
1024,16,1.21111,0.52654,0.352582
1024,32,1.24549,0.536876,0.360053
1024,64,1.25315,0.560224,0.358911
1024,128,1.24746,0.675802,0.3559
