n,threads,bloques_time,strassen_time,speedup_bloques,eficiencia_bloques,speedup_strassen,eficiencia_strassen
256,1,0.0097077,0.00927885,1.07183,1.07183,1.2454,1.2454
256,2,0.0109733,0.00874233,0.948207,0.474104,1.32183,0.660914
256,4,0.0034723,0.00694462,2.99657,0.749142,1.664,0.416
256,6,0.0030489,0.00663581,3.4127,0.568784,1.74144,0.29024
512,1,0.0849506,0.0643631,0.998616,0.998616,1.04739,1.04739
512,2,0.104811,0.0462769,0.809387,0.404694,1.45674,0.728371
512,4,0.0287457,0.027478,2.95116,0.737789,2.45337,0.613342
512,6,0.0243326,0.0312053,3.48639,0.581065,2.16032,0.360054
1024,1,0.784373,0.526279,0.995713,0.995713,1.02545,1.02545
1024,2,0.414293,0.29834,1.88516,0.942581,1.80891,0.904455
1024,4,0.200598,0.176732,3.89341,0.973353,3.05362,0.763405
1024,6,0.141,0.192074,5.53906,0.923177,2.8097,0.468284
